Country Name,Country Code,Year,GDP (current US$),Population,Education Expenditure (% of GDP)
United States,US,2018,20656516000000.0,326838199.0,4.89502000808716
United States,US,2019,21539982000000.0,328329953.0,4.95746994018555
United States,US,2020,21354105000000.0,331526933.0,5.39998006820679
United States,US,2021,23681171000000.0,332048977.0,5.42829990386963
United States,US,2022,26006893000000.0,333271411.0,5.42829990386963
United Kingdom,GB,2018,2871340347581.79,66460344.0,5.20437002182007
United Kingdom,GB,2019,2851407164907.81,66836327.0,5.26115989685059
United Kingdom,GB,2020,2696778386607.65,67081234.0,5.43935012817383
United Kingdom,GB,2021,3143323050707.26,67026292.0,5.90458011627197
United Kingdom,GB,2022,3114042471144.39,67791000.0,4.95917558670044
Switzerland,CH,2018,725568717468.001,8514329.0,4.93008995056152
Switzerland,CH,2019,721369112726.724,8575280.0,5.01438999176025
Switzerland,CH,2020,741999406005.627,8638167.0,5.27676010131836
Switzerland,CH,2021,813408787222.499,8704546.0,5.03708982467651
Switzerland,CH,2022,818426550206.45,8777088.0,4.88824462890625
Singapore,SG,2018,376892697588.005,5638676.0,2.85660004615784
Singapore,SG,2019,376901649222.451,5703569.0,2.72951006889343
Singapore,SG,2020,349488382610.662,5685807.0,2.6869900226593
Singapore,SG,2021,434111559282.849,5453566.0,2.82470989227295
Singapore,SG,2022,498474540987.78,5637022.0,2.48891997337341
China (Mainland),CN,2018,13894907857880.6,1402760000.0,4.02442407608032
China (Mainland),CN,2019,14279968506271.7,1407745000.0,4.05939483642578
China (Mainland),CN,2020,14687744162801.0,1411100000.0,4.2333812713623
China (Mainland),CN,2021,17820459508852.2,1412360000.0,3.98832511901855
China (Mainland),CN,2022,17881782683707.3,1412175000.0,4.02356958389282
Hong Kong SAR,HK,2018,361731070995.726,7452600.0,3.3
Hong Kong SAR,HK,2019,363074545072.389,7507900.0,3.8
Hong Kong SAR,HK,2020,344943149590.058,7481000.0,3.9
Hong Kong SAR,HK,2021,368954169748.818,7413100.0,3.7
Hong Kong SAR,HK,2022,358681066274.469,7346100.0,3.7
Japan,JP,2018,5040880939324.86,126811000.0,3.07782006263733
Japan,JP,2019,5117993853016.51,126633000.0,3.15533995628357
Japan,JP,2020,5055587093501.59,126261000.0,3.30628991127014
Japan,JP,2021,5034620784584.98,125681593.0,3.33563995361328
Japan,JP,2022,4256410760723.75,125124989.0,3.23762130737305
Canada,CA,2018,1725329192783.02,37072620.0,4.8889799118042
Canada,CA,2019,1743725183672.52,37618495.0,4.77293014526367
Canada,CA,2020,1655684730000.19,38028638.0,4.88794994354248
Canada,CA,2021,2007472181464.15,38239864.0,4.74860000610352
Canada,CA,2022,2161483369422.01,38939056.0,4.13957166671753
Australia,AU,2018,1427809041019.44,24963258.0,5.40967607498169
Australia,AU,2019,1392723834562.64,25334826.0,5.50858879089355
Australia,AU,2020,1328414058378.38,25649248.0,5.37828016281128
Australia,AU,2021,1556735770437.26,25685412.0,5.33320999145508
Australia,AU,2022,1690858246994.43,26014399.0,5.20677661895752
South Korea,KR,2018,1725373496825.43,51585058.0,4.45807981491089
South Korea,KR,2019,1651422932447.77,51764822.0,4.68465995788574
South Korea,KR,2020,1644312831906.17,51836239.0,4.8017201423645
South Korea,KR,2021,1818432106880.04,51769539.0,4.86627006530762
South Korea,KR,2022,1673916511799.71,51672569.0,4.86627006530762
France,FR,2018,2781576320884.39,67158348.0,5.40716981887817
France,FR,2019,2722793515171.76,67382061.0,5.35443019866943
France,FR,2020,2647926055110.05,67601110.0,5.65981006622314
France,FR,2021,2966433692008.09,67842811.0,5.43038988113403
France,FR,2022,2796302210398.84,68065015.0,5.43038988113403
Germany,DE,2018,4052008447223.53,82905782.0,4.97933006286621
Germany,DE,2019,3957208055215.68,83092962.0,5.11552000045776
Germany,DE,2020,3940142541354.1,83160871.0,5.59038019180298
Germany,DE,2021,4348297440387.53,83196078.0,5.45488977432251
Germany,DE,2022,4163596357879.39,83797985.0,4.54389047622681
Netherlands,NL,2018,929733599796.862,17231624.0,5.35764980316162
Netherlands,NL,2019,928903005576.469,17344874.0,5.15986013412476
Netherlands,NL,2020,932560861701.17,17441500.0,5.42381000518799
Netherlands,NL,2021,1054472123449.6,17533044.0,5.50609016418457
Netherlands,NL,2022,1046540797548.64,17700982.0,5.05201101303101
Malaysia,MY,2018,358788845712.53,32910967.0,4.5
Malaysia,MY,2019,365177721021.516,33440596.0,4.5
Malaysia,MY,2020,337456163961.211,33889558.0,4.4
Malaysia,MY,2021,373784823672.946,34282399.0,4.3
Malaysia,MY,2022,407605841348.235,34695493.0,4.3
Taiwan,TW,2018,550000000000.0,23300000.0,5.8
Taiwan,TW,2019,600000000000.0,23350000.0,5.8
Taiwan,TW,2020,650000000000.0,23400000.0,5.9
Taiwan,TW,2021,700000000000.0,23450000.0,6.0
Taiwan,TW,2022,760000000000.0,23500000.0,6.0
Argentina,AR,2018,524819892360.176,44654882.0,4.87773990631104
Argentina,AR,2019,447754683615.225,44973465.0,4.7716498374939
Argentina,AR,2020,385740508436.965,45191965.0,5.27689981460571
Argentina,AR,2021,486564085480.036,45312281.0,4.64117002487183
Argentina,AR,2022,632790070063.124,45407904.0,4.80521011352539
Belgium,BE,2018,542638913427.921,11427054.0,6.38107013702393
Belgium,BE,2019,536726344405.489,11488980.0,6.33397006988525
Belgium,BE,2020,529694473501.791,11538604.0,6.80185985565186
Belgium,BE,2021,598494036474.409,11586195.0,6.35551977157593
Belgium,BE,2022,593438820508.173,11680210.0,6.35551977157593
Russia,RU,2018,1657328773461.31,145398106.0,4.67819976806641
Russia,RU,2019,1693115002708.32,145453291.0,3.69561433792114
Russia,RU,2020,1493075894362.14,145245148.0,4.01641845703125
Russia,RU,2021,1843392293734.38,144746762.0,3.99480700492859
Russia,RU,2022,2266029240645.34,144236933.0,4.05402755737305
Denmark,DK,2018,355293374912.393,5793636.0,7.29690980911255
Denmark,DK,2019,345401473012.615,5814422.0,7.25505018234253
Denmark,DK,2020,355631021931.621,5831404.0,7.38354015350342
Denmark,DK,2021,408378204639.999,5856733.0,6.99992990493774
Denmark,DK,2022,401945576107.963,5903037.0,5.29643440246582
New Zealand,NZ,2018,211846555690.736,4900600.0,5.19308996200562
New Zealand,NZ,2019,212846907683.439,4979200.0,5.17797994613647
New Zealand,NZ,2020,212697530897.56,5090200.0,5.65149021148682
New Zealand,NZ,2021,253644079784.977,5111300.0,5.54822015762329
New Zealand,NZ,2022,246733522841.353,5117200.0,5.23012018203735
Sweden,SE,2018,551312498430.164,10175214.0,7.64084005355835
Sweden,SE,2019,532169294165.94,10278887.0,7.63851022720337
Sweden,SE,2020,545147614972.141,10353442.0,7.92561006546021
Sweden,SE,2021,637186904843.636,10415811.0,7.57219982147217
Sweden,SE,2022,579895717343.956,10486941.0,7.57219982147217
