Rank,University,Country Name
1,Massachusetts Institute of Technology (MIT),United States
2,University of Oxford,United Kingdom
=3,Stanford University,United States
=3,University of Cambridge,United Kingdom
5,Harvard University,United States
6,California Institute of Technology (Caltech),United States
7,Imperial College London,United Kingdom
=8,ETH Zurich,Switzerland
=8,UCL,United Kingdom
10,University of Chicago,United States
11,National University of Singapore (NUS),Singapore
12,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore
13,University of Pennsylvania,United States
=14,EPFL,Switzerland
=14,Yale University,United States
16,The University of Edinburgh,United Kingdom
17,Tsinghua University,China (Mainland)
18,Peking University,China (Mainland)
19,Columbia University,United States
20,Princeton University,United States
21,Cornell University,United States
22,The University of Hong Kong,Hong Kong SAR
=23,The University of Tokyo,Japan
=23,University of Michigan-Ann Arbor,United States
25,Johns Hopkins University,United States
26,University of Toronto,Canada
=27,McGill University,Canada
=27,Australian National University (ANU),Australia
=27,The University of Manchester,United Kingdom
30,Northwestern University,United States
31,Fudan University,China (Mainland)
32,"University of California, Berkeley (UCB)",United States
33,Kyoto University,Japan
34,The Hong Kong University of Science and Technology,Hong Kong SAR
35,King's College London,United Kingdom
36,Seoul National University,South Korea
37,The University of Melbourne,Australia
38,The University of Sydney,Australia
39,The Chinese University of Hong Kong (CUHK),Hong Kong SAR
40,"University of California, Los Angeles (UCLA)",United States
41,KAIST - Korea Advanced Institute of Science & Technology,South Korea
42,New York University (NYU),United States
43,The University of New South Wales (UNSW Sydney),Australia
44,Université PSL,France
45,Zhejiang University,China (Mainland)
46,University of British Columbia,Canada
47,The University of Queensland,Australia
48,"University of California, San Diego (UCSD)",United States
=49,Institut Polytechnique de Paris,France
49,The London School of Economics and Political Science (LSE),United Kingdom
=50,Shanghai Jiao Tong University,China (Mainland)
=50,Technical University of Munich,Germany
52,Duke University,United States
=53,Carnegie Mellon University,United States
=53,City University of Hong Kong,Hong Kong SAR
55,University of Amsterdam,Netherlands
56,Tokyo Institute of Technology (Tokyo Tech),Japan
57,Delft University of Technology,Netherlands
58,Monash University,Australia
60,Brown University,United States
61,The University of Warwick,United Kingdom
62,University of Bristol,United Kingdom
63,Universität Heidelberg,Germany
64,Ludwig-Maximilians-Universität München,Germany
65,Universiti Malaya (UM),Malaysia
66,The Hong Kong Polytechnic University,Hong Kong SAR
67,University of Texas at Austin,United States
68,National Taiwan University (NTU),Taiwan
69,Universidad de Buenos Aires (UBA),Argentina
=70,KU Leuven,Belgium
=70,University of Zurich,Switzerland
72,Sorbonne University,France
73,University of Glasgow,United Kingdom
74,Korea University,South Korea
=75,Osaka University,Japan
=75,University of Wisconsin-Madison,United States
77,University of Southampton,United Kingdom
78,Lomonosov Moscow State University,Russia
=79,University of Copenhagen,Denmark
=79,Yonsei University,South Korea
81,Pohang University of Science And Technology (POSTECH),South Korea
=82,Durham University,United Kingdom
=82,Tohoku University,Japan
=82,University of Illinois at Urbana-Champaign,United States
=85,The University of Auckland,New Zealand
=85,University of Washington,United States
=86,Université Paris-Saclay,France
87,Lund University,Sweden
88,Georgia Institute of Technology,United States
89,KTH Royal Institute of Technology,Sweden
90,University of Birmingham,United Kingdom
91,University of St Andrews,United Kingdom
92,University of Leeds,United Kingdom
93,The University of Western Australia,Australia
94,Rice University,United States
95,The University of Sheffield,United Kingdom
96,Pennsylvania State University,United States
97,Sungkyunkwan University (SKKU),South Korea
98,University of Science and Technology of China,China (Mainland)
99,Technical University of Denmark,Denmark
